"","song","artist","type","lvar","lave","lmax","lfener","lfreq","range","lfreq_range"
"1","V1","Vivaldi","Classical",3677296.2,66.653097,24229,99.25243,329.53792,0.308873565327177,819.35521
"2","V2","Vivaldi","Classical",771491.8,21.6560941,6936,104.36737,843.8324,0.894782238717614,819.35521
"3","V3","Vivaldi","Classical",5227573.2,88.6465556,17721,104.61255,165.76781,0.122298885600679,819.35521
"4","V4","Vivaldi","Classical",334719.1,13.8318847,4123,104.35005,293.99972,0.268386761703144,819.35521
"5","V5","Vivaldi","Classical",836904.9,34.5677377,17306,88.82821,198.38305,0.159455714506777,819.35521
"6","V6","Vivaldi","Classical",13936436.7,216.2317586,30355,104.82354,198.46716,0.159551536609552,819.35521
"7","V7","Vivaldi","Classical",3636324.3,9.8366363,21450,100.52727,877.77243,0.933448331249137,819.35521
"8","V8","Vivaldi","Classical",295397.4,2.8143227,2985,108.28717,58.41722,0,819.35521
"9","V9","Vivaldi","Classical",4335879,10.9015767,22271,101.32881,176.53441,0.134564707164475,819.35521
"10","V10","Vivaldi","Classical",472630,3.8890862,8194,98.83731,526.04942,0.532748790025223,819.35521
"11","M1","Mozart","Classical",2819795,-5.8667602,14939,102.25358,342.26017,0.323367356160867,819.35521
"12","M2","Mozart","Classical",2836957.9,-5.607458,13382,102.04646,511.85517,0.516578026949422,819.35521
"13","M3","Mozart","Classical",9089372.1,-5.9719205,25265,102.23796,429.27618,0.42250012340898,819.35521
"14","M4","Mozart","Classical",4056229.7,-6.2272904,21328,97.59887,343.75319,0.325068275384316,819.35521
"15","M5","Mozart","Classical",1568925.6,-6.199379,15839,99.4758,288.44819,0.262062195323223,819.35521
"16","M6","Mozart","Classical",7758409.1,-5.7700183,22496,101.66942,459.24182,0.456638402279279,819.35521
"17","B1","Beethoven","Classical",8368952.9,-0.953833,26645,101.74095,354.12025,0.336878922023103,819.35521
"18","B2","Beethoven","Classical",293608.3,-0.1247094,4554,103.2616,316.03761,0.293493371624807,819.35521
"19","B3","Beethoven","Classical",8051764.6,-0.3316964,24194,101.20132,397.18666,0.385942219670764,819.35521
"20","B4","Beethoven","Classical",23493873.6,-0.9411538,32766,106.1822,529.26679,0.536414170584054,819.35521
"21","B5","Beethoven","Classical",1640232.8,1.3899979,20877,94.59029,445.00551,0.440419722455853,819.35521
"22","B6","Beethoven","Classical",343973.1,-2.4748955,9225,93.38874,331.68283,0.311317148568906,819.35521
"23","B7","Beethoven","Classical",3644784.2,-1.0426907,24633,97.86394,181.01349,0.139667487619769,819.35521
"24","B8","Beethoven","Classical",15030950.3,-1.4394652,26066,106.39731,249.0828,0.217215275262177,819.35521
"25","V11","Vivaldi","Classical",1879989.2,12.7213373,8601,105.8175,58.8378,0.000479144691295443,819.35521
"26","V12","Vivaldi","Classical",737349.6,5.7190022,7089,102.92123,175.94562,0.133893929660106,819.35521
"27","V13","Vivaldi","Classical",2865979.9,21.4467629,17282,102.11314,61.44533,0.00344976658699567,819.35521
"28","Dancing Queen","Abba","Rock",17600755.6,-90.0068667,29921,105.92095,59.57379,0.0463146601179922,350.88187
"29","Knowing Me","Abba","Rock",9543020.9,-75.7667187,27626,102.83616,58.48031,0.0435272112750506,350.88187
"30","Take a Chance","Abba","Rock",9049481.5,-98.0629244,26372,102.32488,124.59397,0.212061107706291,350.88187
"31","Mamma Mia","Abba","Rock",7557437.3,-90.4710616,28898,101.61648,48.76513,0.0187617219657179,350.88187
"32","Lay All You","Abba","Rock",6282285.6,-88.9526309,27940,100.30076,74.02039,0.0831412673302318,350.88187
"33","Super Trouper","Abba","Rock",4665866.7,-69.020845,25531,100.24848,81.4014,0.101956598003166,350.88187
"34","I Have A Dream","Abba","Rock",3369670.3,-71.6828788,14699,104.59686,305.18689,0.672420260043271,350.88187
"35","The Winner","Abba","Rock",1135862,-67.8190467,8928,104.34921,277.66056,0.602251407655548,350.88187
"36","Money","Abba","Rock",6146942.6,-76.28075,22962,102.24066,165.15799,0.315465038838145,350.88187
"37","SOS","Abba","Rock",3482881.8,-74.1300038,15517,104.36243,146.737,0.268507099725094,350.88187
"38","All in a Days Work","Eels","Rock",40275677.4,-10.6893416,32759,106.07617,65.48281,0.0613776616927065,350.88187
"39","Saturday Morning","Eels","Rock",129472199.3,50.2115773,32759,114.00229,41.40515,0,350.88187
"40","The Good Old Days","Eels","Rock",18838849,-0.0222764,30386,105.45611,165.2421,0.315679448175471,350.88187
"41","Love of the Loveless","Eels","Rock",43201194.3,1.8926897,32759,108.37835,174.64185,0.339640857859636,350.88187
"42","Girl","Eels","Rock",88547131,0.3358761,32744,112.00916,392.28702,0.894451899020263,350.88187
"43","Agony","Eels","Rock",16285811.4,-0.1405876,30106,103.94171,312.06322,0.689949083709168,350.88187
"44","Rock Hard Times","Eels","Rock",54651552.8,1.9848514,32759,108.87503,312.37864,0.690753137842797,350.88187
"45","Restraining","Eels","Rock",12322434.4,1.025979,23221,103.29906,185.59771,0.367569031470886,350.88187
"46","Lone Wolf","Eels","Rock",63878899.8,3.3592505,32759,109.53291,66.13469,0.0630394041587203,350.88187
"47","Wrong About Bobby","Eels","Rock",43668186.9,-2.0125667,32759,108.35559,98.83404,0.146395080826279,350.88187
"48","Love Me Do","Beatles","Rock",28806811.2,-5.7452189,24159,109.95808,126.50757,0.216939168672978,350.88187
"49","I Want to Hold Your Hand","Beatles","Rock",61257693.6,-6.0340682,28502,111.81813,294.67263,0.645617792808949,350.88187
"50","Cant Buy Me Love","Beatles","Rock",76729438,-5.9583971,30102,112.71792,100.20089,0.149879391879956,350.88187
"51","I Feel Fine","Beatles","Rock",52497242.7,-5.7314591,29911,110.66333,110.39972,0.17587777948911,350.88187
"52","Ticket to Ride","Beatles","Rock",68104547,-6.1449114,30415,111.59957,107.30853,0.167997860342155,350.88187
"53","Help","Beatles","Rock",52569372.5,-5.7166301,32318,110.34618,137.10594,0.243956045244627,350.88187
"54","Yesterday","Beatles","Rock",23080907.6,-6.0298337,28169,107.30541,173.50631,0.336746191602261,350.88187
"55","Yellow Submarine","Beatles","Rock",39908667.5,-6.2616915,29061,109.47442,91.49508,0.127686942076238,350.88187
"56","Eleanor Rigby","Beatles","Rock",18819753.2,-6.1265193,21680,108.65894,164.92667,0.314875368550303,350.88187
"57","Penny Lane","Beatles","Rock",58614798.7,-5.9971242,31131,111.18901,92.4624,0.130152789658959,350.88187
"58","Waterloo","Abba","Rock",24898675.9,-93.9961871,29830,107.73299,146.04306,0.266738139844647,350.88187
"59","Hey Jude","Beatles","Rock",8651854.1,-6.1322408,18509,83.88195,219.53773,0.454087366948822,350.88187
"60","The Memory of Trees","Enya","New wave",1135493.1,-10.6183398,9994,102.16132,155.0643,0.683889328491471,106.04682
"61","Anywhere Is","Enya","New wave",12230252.2,-17.83727,24968,105.75748,79.31957,0.195416288597698,106.04682
"62","Pax Deorum","Enya","New wave",1723627.9,-6.8327065,13227,101.86845,49.01748,0,106.04682
